,,,,SVS,JGOFS,LVS,CTD,NO
STNNBR,,,A8,x,,x,,
CASTNO,,,"5X,I3",x,,x,,
SAMPNO,,,"1X,A7",x,,x,,
BTLNBR,,,"1X,A7",x,,x,,
CTDRAW,DBAR,"0,11000","1X,I7",x,,,,x
CTDPRS,DBAR,"0,11000",F8.1,x,,,x,
CTDTMP,ITS-90,"-2,35",F8.4,x,,,x,
CTDSAL,PSS-78,"0,42",F8.4,x,,,x,
CTDOXY,UMOL/KG,"0,500",F8.1,x,,,x,
THETA,DEG C,"-2,35",F8.4,x,,x,,x
SALNTY,PSS-78,"0,42",F8.4,x,,x,,
OXYGEN,UMOL/KG,"0,500",F8.1,x,,x,,
SILCAT,UMOL/KG,"0,250",F8.2,x,,,,
NITRAT,UMOL/KG,"-0.1,47",F8.2,x,,,,
NITRIT,UMOL/KG,"-0.1,15",F8.2,x,,,,
PHSPHT,UMOL/KG,"0,5",F8.2,x,,,,
CFC-11,PMOL/KG,"-0.1,15",F8.3,x,,,,
CFC-12,PMOL/KG,"-0.1,15",F8.3,x,,,,
CFC113,PMOL/KG,"-0.1,1.5",F8.3,x,,,,
SF6,,,,,,,,
CCL4,PMOL/KG,"-0.1,20",F8.3,x,,,,
IODATE,NMOL/KG,,F8.3,,,,,x
IODIDE,NMOL/KG,,F8.3,,,,,x
NH4,UMOL/KG,,,,,,,
CH4,NMOL/KG,,F8.2,,,,,
DON,UMOL/KG,,F8.1,,,,,
N2O,NMOL/KG,,F8.2,,,,,x
CHLORA,UG/KG,,F8.2,,,,,
PPHYTN,UG/KG,,F8.2,,,,,
Halocarbons,,,,,,,,x
DMS,,,,,,,,x
DMSP,,,,,,,,x
Hydrocarbons,,,,,,,,x
BARIUM,,,,,,,,x
POC,UG/KG,,,,,,,
PON,UG/KG,,,,,,,
BACT,CELL/KG,,,,,,,x
DOC,UMOL/KG,,,,,,,
COMON,UMOL/KG,,,,,,,x
REVPRS,DBAR,"0,11000",F8.1,x,,x,,x
REVTMP,ITS-90,"-2,35",F8.3,x,,x,,x
TRITUM,TU,"-1,100",F8.3,x,,,,
TRITER,TU,,F8.3,x,,,,
HELIUM,NMOL/KG,"1,3",F8.4,x,,,,
HELIER,NMOL/KG,,F8.4,x,,,,
DELHE3,PERCNT,"-10,100",F8.2,x,,,,
DELHER,PERCNT,,F8.2,x,,,,
DELC14,/MILLE,"-300,250",F8.1,x,,x,,
C14ERR,/MILLE,,F8.1,x,,x,,
DELC13,/MILLE,"-5,5",F8.1,x,,x,,
C13ERR,/MILLE,,F8.1,x,,x,,
KR-85,DM/MG,"0,5",F8.2,,,x,,x
KR85ERR,DM/MG,,F8.2,,,x,,x
ARGON,UMOL/KG,"5,25",F8.2,x,,x,,x
ARGERR,UMOL/KG,,F8.2,,,x,,x
AR-39,PCTMOD,"0,100",F8.1,,,x,,x
AR39ER,PCTMOD,,F8.1,,,x,,x
NEON,NMOL/KG,"0,10",F8.3,x,,x,,x
NEONER,NMOL/KG,,F8.3,x,,,,x
RA-228,DM/.1MG,"-1,10",F8.2,,,x,,x
R228ER,DM/.1MG,,F8.2,,,x,,x
RA-226,DM/.1MG,"3,80",F8.2,,,x,,x
R226ER,DM/.1MG,,F8.2,,,x,,x
SR-90,DM/.1MG,"0,100",F8.2,,,x,,x
CS-137,DM/.1MG,"0,100",F8.2,,,x,,x
O18/O16,/MILLE,"-5,5",F8.2,x,,,,
TCARBN,UMOL/KG,"1100,2600",F8.1,,x,,,
ALKALI,UMOL/KG,"100,2800",F8.1,,x,,,
PCO2,UATM,"50,2000",F8.1,,x,,,
PCO2TMP,DEG C,,F8.2,,x,,,
FCO2,,,,,,,,
FCO2TMP,,,,,,,,
PH_SWS,,"7.6,8.3",F8.4,,x,,,
PH_TOT,,"7.6,8.3",F8.4,,x,,,
PH_TMP,DEG C,,F8.2,,x,,,
XMISS,%TRANS,"0,100",F8.2,,,,x,x
FLUOR,MC/CUM,"0,50",F8.3,,,,x,x
NUMBER,,,I8,,,,,x
